Time;Temperature;Humidity
2026-03-21 22:35:47;25.6;54.1
2026-03-21 22:35:50;25.6;54.0
2026-03-21 22:35:51;25.6;54.0
2026-03-21 22:35:52;25.6;53.9
2026-03-21 22:35:54;25.6;53.9
2026-03-21 22:35:55;25.6;53.9
2026-03-21 22:35:56;25.6;53.9
2026-03-21 22:35:57;25.6;54.0
2026-03-21 22:35:59;25.6;54.0
2026-03-21 22:36:00;25.6;53.9
2026-03-21 22:36:01;25.6;53.9
2026-03-21 22:36:02;25.6;54.0
2026-03-21 22:36:04;25.6;54.0
2026-03-21 22:36:05;25.6;54.0
2026-03-21 22:36:06;25.6;54.0
2026-03-21 22:36:08;25.6;54.0
2026-03-21 22:36:09;25.6;54.0
